"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Verify Email Confirmation Sent Post Registration","Verify that the email confirmation is sent correctly after registration."
"failed","Sat Sep 27 16:48:31 GMT 2025","Sat Sep 27 16:48:31 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Validate Saved Card Autofill Functionality","Verify that the saved card details are automatically filled in payment form."
"skipped","Sat Sep 27 16:48:27 GMT 2025","Sat Sep 27 16:48:27 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","test_upi_payment_integration_flow","Test UPI payment integration and flow functionality."
"failed","Sat Sep 27 16:47:55 GMT 2025","Sat Sep 27 16:48:00 GMT 2025","5052","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Invalid Login","Verify that the user can login with invalid creds."
"skipped","Sat Sep 27 16:47:55 GMT 2025","Sat Sep 27 16:47:55 GMT 2025","0","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Login Page Elements","Verify that the login page elements are present."
"passed","Sat Sep 27 16:47:02 GMT 2025","Sat Sep 27 16:47:02 GMT 2025","162","SRC.tests.tests_api","test_bookers_api","TestBookersApi","","","test_update_booking","
        Test the booking update API.
        "
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","1","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-52: Verify that failed transaction due to downtime is handled correctly.","Verify that failed transaction due to downtime is handled correctly."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","1","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Check Mobile Number Verification","Verify that the mobile number verification is performed correctly."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Verify Mandatory Fields Are Enforced","Verify that the mandatory fields are enforced correctly."
"passed","Sat Sep 27 16:48:27 GMT 2025","Sat Sep 27 16:48:27 GMT 2025","1","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Validate Saved Card Autofill Functionality","Verify that the saved card details are automatically filled in payment form."
"failed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_homepage","TestHomePage","","","Verify Sorting","Verify that sorting options are available on the home page."
"skipped","Sat Sep 27 16:48:31 GMT 2025","Sat Sep 27 16:48:31 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Verify Email Receipt Sent After Payment","Verify that the email receipt is sent to customer after successful payment."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Check Back Button Functionality On Signup","Verify that the back button functionality is performed correctly on signup."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Validate Error For Duplicate Email Registration","Verify that the error message is displayed when the email is already registered."
"passed","Sat Sep 27 16:48:27 GMT 2025","Sat Sep 27 16:48:27 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Validate Error On Invalid Card Entry","Verify that the error message is displayed when the card is invalid."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","1","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Registration With Referral Code","Verify that the registration with referral code is performed correctly."
"skipped","Sat Sep 27 16:48:31 GMT 2025","Sat Sep 27 16:48:31 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Validate 3D Secure Authentication","Verify that the 3D secure authentication process is performed correctly."
"failed","Sat Sep 27 16:47:31 GMT 2025","Sat Sep 27 16:47:49 GMT 2025","18081","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Logout","Verify that the user can logout."
"passed","Sat Sep 27 16:48:27 GMT 2025","Sat Sep 27 16:48:27 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Validate CVV Check During Payment","Verify that the CVV check is performed during payment."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-46: Verify that account balance is calculated correctly after a transaction.","Verify that account balance is calculated correctly after a transaction."
"failed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-50: Verify that mini statement generation works correctly.","Verify that mini statement generation works correctly."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","1","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-49: Verify that deposit transaction logging works correctly.","Verify that deposit transaction logging works correctly."
"failed","Sat Sep 27 16:48:00 GMT 2025","Sat Sep 27 16:48:05 GMT 2025","5053","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Problem User Login","Verify that the user can login with problem user creds."
"failed","Sat Sep 27 16:47:20 GMT 2025","Sat Sep 27 16:47:20 GMT 2025","0","SRC.tests.tests_ui","test_homepage","TestHomePage","","","Verify Product Details","Verify that the product details are displayed correctly."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Check Redirection To Dashboard Post Signup","Verify that the redirection to dashboard is performed correctly after signup."
"passed","Sat Sep 27 16:47:02 GMT 2025","Sat Sep 27 16:47:02 GMT 2025","192","SRC.tests.tests_api","test_bookers_api","TestBookersApi","","","test_get_booking","
        Test the booking retrieval API.

        "
"failed","Sat Sep 27 16:47:49 GMT 2025","Sat Sep 27 16:47:54 GMT 2025","5052","SRC.tests.tests_ui","test_login","TestLogin","","","Verify Page Title","Verify that the page title is correct."
"failed","Sat Sep 27 16:47:15 GMT 2025","Sat Sep 27 16:47:15 GMT 2025","0","SRC.tests.tests_ui","test_homepage","TestHomePage","","","Verify Menu","Verify that the menu navigation works correctly."
"failed","Sat Sep 27 16:48:27 GMT 2025","Sat Sep 27 16:48:27 GMT 2025","0","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Verify Currency Change Updates Payment Amount","Verify that the currency change updates the payment amount correctly."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Validate Error For Invalid Email Format","Verify that the error message is displayed when the email format is invalid."
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Check Registration Date Saved Correctly","Verify that the registration date is saved correctly."
"skipped","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Password Strength Validation","Verify that the password strength validation is performed correctly."
"failed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-47: Verify that IMPS transfer functionality works correctly.","Verify that IMPS transfer functionality works correctly."
"passed","Sat Sep 27 16:47:02 GMT 2025","Sat Sep 27 16:47:02 GMT 2025","130","SRC.tests.tests_api","test_bookers_api","TestBookersApi","","","test_booker_api","
        Test the authentication API.
        "
"passed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_transactions","TestCurrentAndSavingsAccountsTransactions","","","MYS-44: Verify that money transfer between own accounts works correctly.","Verify that money transfer between own accounts works correctly."
"failed","Sat Sep 27 16:47:03 GMT 2025","Sat Sep 27 16:47:03 GMT 2025","0","SRC.tests.tests_ui","test_account_registration","TestAccountRegistrationFlow","","","Verify Social Media Registration Google Facebook","Verify that the social media registration is performed correctly."
"passed","Sat Sep 27 16:48:27 GMT 2025","Sat Sep 27 16:48:28 GMT 2025","1001","SRC.tests.tests_ui","test_payment_flow","TestPaymentFlowOnUI","","","Verify Verify Success Message Post Successful Transaction","Verify that the success message is displayed after successful transaction."
"failed","Sat Sep 27 16:48:05 GMT 2025","Sat Sep 27 16:48:10 GMT 2025","5052","SRC.tests.tests_ui","test_login_parameterized","TestLoginParameterized","","","test_parameterized_valid_login[standard_user-secret_sauce-True-Success]","
        Test login functionality with valid and invalid credentials.
        "
